caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,relationship_quality,attractive_self,attractive_partner,breakup_year_combo,breakup_month_combo,got_married?_new
1421401,1421401_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1422621,1422621_4,qualified,yes,201303.0,still together,,,3.0,moderately attractive,very attractive,,,
1424245,1424245_4,disqualified,,,,,,,,,,,
1425271,1425271_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,very attractive,,,
1426355,1426355_4,qualified,yes,201303.0,still together,,,3.0,very attractive,very attractive,,,
1427636,1427636_4,qualified,no,,,,,,,,,,
1428631,1428631_4,qualified,no,,,,,,,,,,
1430681,1430681_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,very attractive,,,
1431445,1431445_4,disqualified,,,,,,,,,,,
1432733,1432733_4,disqualified,,,,,,,,,,,
1433533,1433533_4,qualified,no,,,,,,,,,,
1434421,1434421_4,qualified,yes,201303.0,still together,,,3.0,moderately attractive,moderately attractive,,,
1435285,1435285_4,disqualified,,,,,,,,,,,
1436742,1436742_4,disqualified,,,,,,,,,,,
1437591,1437591_4,qualified,yes,201303.0,still together,,,5.0,very attractive,very attractive,,,
1438781,1438781_4,qualified,yes,201311.0,still together,,,5.0,moderately attractive,very attractive,,,
1439225,1439225_4,disqualified,,,,,,,,,,,
1440573,1440573_4,qualified,yes,201303.0,broke up,,,,moderately attractive,,2012.0,March,
1441235,1441235_4,disqualified,,,,,,,,,,,
1442415,1442415_4,disqualified,,,,,,,,,,,
1443503,1443503_4,disqualified,,,,,,,,,,,
1444575,1444575_4,disqualified,,,,,,,,,,,
1445491,1445491_4,qualified,yes,201303.0,still together,,,5.0,moderately attractive,moderately attractive,,,
1446561,1446561_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,slightly attractive,,,
1447506,1447506_4,qualified,no,,,,,,,,,,
1449706,1449706_4,qualified,no,,,,,,,,,,
1450553,1450553_4,qualified,no,,,,,,,,,,
1451501,1451501_4,qualified,yes,201303.0,still together,,,4.0,moderately attractive,moderately attractive,,,
1453663,1453663_4,disqualified,,,,,,,,,,,
