,caseid_new,xw6_year,xw6_month,xw6_last,xw6_marry,w6_still_mar,w6_live_together,w6_otherdate,w6_how_many,w6_otherdate_app,w6_how_many_app,w6_relationship_end_mar,w6_who_breakup,w6_mbtiming_Year,w6_mbtiming_Month,w6_partner_passaway_Year,w6_partner_passaway_Month,w6_otherdate_B,w6_how_many_B,w6_otherdate_app_B,w6_how_many_app_B,w6_still_rel,w6_live_together_C,w6_got_married,w6_martiming_Year,w6_martiming_Month,w6_otherdate_C,w6_how_many_C,w6_otherdate_app_C,w6_how_many_app_C,w6_relationship_end_nonmar,w6_who_breakup_C,w6_nonmbtiming_Year,w6_nonmbtiming_Month,w6_partner_passaway_C_Year,w6_partner_passaway_C_Month,w6_otherdate_C2,w6_how_many_C2,w6_otherdate_app_C2,w6_how_many_app_C2,pp6_ppage,pp6_ppagecat,pp6_ppagect4,pp6_ppeduc,pp6_ppeducat,pp6_ppethm,pp6_ppgender,pp6_pphhhead,pp6_pphhsize,pp6_pphouse,pp6_ppincimp,pp6_ppmarit,pp6_ppmsacat,pp6_PPREG4,pp6_ppreg9,pp6_pprent,pp6_PPT01,pp6_PPT25,pp6_PPT612,pp6_PPT1317,pp6_PPT18OV,pp6_ppwork,w6_relate_status,w6_broke_up,w6_met_through_friends,w6_met_through_family,w6_met_online,w6_met_through_as_coworkers,w6_met_online_dating,w6_met_bar_restaurant,w6_how_met_story_length,w6_combo_live_together,w6_otherdate_combo,w6_how_many_combo,w6_otherdate_app_combo,w6_how_many_app_combo,w6_HCMST_yrmo
318,1929641,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,65-74,60+,"Some college, no degree",Some college,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - other,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
319,1930531,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,55-64,60+,"Some college, no degree",Some college,Hispanic,Male,Yes,2,A one-family house detached from any other house,"$10,000 to $12,499",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
320,1947301,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,1,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
321,1958331,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,35-44,30-44,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,4,A one-family house detached from any other house,"$175,000 to $199,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,2,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
322,1960361,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,35-44,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,5,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,1,4,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
323,1966581,2015,February,2,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,65-74,60+,Masters degree,Bachelor's degree or higher,"Black, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
324,1967711,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,75+,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$25,000 to $29,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
325,1978511,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
326,1985391,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,45-54,45-59,Associate degree,Some college,"White, Non-Hispanic",Male,Yes,5,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,2,1,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
327,1998801,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,75+,60+,Bachelors degree,Bachelor's degree or higher,Hispanic,Male,Yes,3,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
328,2017286,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,35-44,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,3,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,1,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
329,2026446,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,2,A building with 2 or more apartments,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
330,2027521,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,55-64,60+,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,4,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,1,3,Working - self-employed,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
331,2036461,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,45-54,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,1,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
332,2040821,2015,February,2,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,75+,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
333,2062511,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,55-64,45-59,10th grade,Less than high school,"White, Non-Hispanic",Female,Yes,2,A building with 2 or more apartments,"$50,000 to $59,999",Married,Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
334,2066551,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Non-Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
335,2067411,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,5,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,1,0,4,Not working - disabled,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
336,2084411,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,Female,No,6,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,6,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
337,2086556,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,55-64,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201708
338,2091581,2013,April,4,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - looking for work,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
339,2092496,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"No, did not marry PARTNER NAME",,,"Yes, I have met at least one person for dating, romance, or sex [besides PARTNER NAME] in the past year.","Six to Twenty people. I met between six and twenty different people besides PARTNER NAME  in the past year for dating, r","Yes, I have used a phone dating app in the past year to meet someone besides PARTNER NAME in person for dating, romance,","Six to Twenty people. Using phone apps, I met between six and twenty people besides PARTNER NAME in the past year for da",,,,,,,,,,,57,55-64,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,unmarried still together,still together,no,no,no,no,no,no,60,yes,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","Six to Twenty people. I met between six and twenty different people besides PARTNER NAME  in the past year for dating, r","Yes, I have used a phone dating app in the past year to meet someone besides PARTNER NAME in person for dating, romance,","Six to Twenty people. Using phone apps, I met between six and twenty people besides PARTNER NAME in person, in the past",201707
340,2093501,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,1,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
341,2095281,2010,March,7,married,No,,,,,,Divorce,I wanted the [divorce/separation] more.,2012,October,,,"Yes, I have met at least one person for dating, romance, or sex  in the past year.","One person. I met only one person in the past year for dating, or romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person",,,,,,,,,,,,,,,,,,,,,36,35-44,30-44,"Some college, no degree",Some college,"White, Non-Hispanic",Female,Yes,3,A one-family house detached from any other house,"$50,000 to $59,999",Separated,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,1,0,2,Working - as a paid employee,was married but no longer married,broke up,no,no,no,yes,no,no,58,no,"Yes, I have met at least one person for dating, romance, or sex besides PARTNER NAME in the past year.","One person. I met only one person besides PARTNER NAME  in the past year for dating, or romance, or sex.","No, I have not used a phone dating app in the past year to meet someone in person besides PARTNER NAME",,201707
342,2103296,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,No,"No, did not marry PARTNER NAME",,,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,37,35-44,30-44,Bachelors degree,Bachelor's degree or higher,"Black, Non-Hispanic",Female,Yes,1,A building with 2 or more apartments,"$60,000 to $74,999",Never married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,unmarried still together,still together,,,,,,,0,no,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
343,2105421,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
344,2107491,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,55-64,45-59,"Some college, no degree",Some college,"White, Non-Hispanic",Male,Yes,2,A building with 2 or more apartments,"$85,000 to $99,999",Married,Metro,West,Mountain,Rented for cash,0,0,0,0,2,Working - self-employed,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
345,2108781,2015,March,2,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,75+,60+,Associate degree,Some college,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
346,2110451,2014,November,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
347,2120526,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"No, did not marry PARTNER NAME",,,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,60,55-64,60+,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,unmarried still together,still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
348,2121436,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"Yes, married PARTNER NAME",2015,June,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,52,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,3,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,was unmarried but got married,still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
349,2142591,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,65-74,60+,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$125,000 to $149,999",Married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
350,2143405,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,45-54,45-59,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,4,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,1,1,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
351,2150511,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,55-64,60+,Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Non-Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
352,2155561,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,55-64,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - other,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
353,2160635,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,No,"No, did not marry PARTNER NAME",,,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,71,65-74,60+,Masters degree,Bachelor's degree or higher,"2+ Races, Non-Hispanic",Male,Yes,1,A building with 2 or more apartments,"$20,000 to $24,999",Never married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - retired,unmarried still together,still together,,,,,,,0,no,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
354,2170641,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,Yes,2,A one-family house detached from any other house,"$35,000 to $39,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
355,2179636,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,65-74,60+,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Female,Yes,2,A one-family house attached to one or more houses,"$75,000 to $84,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
356,2180411,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,45-54,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Female,Yes,6,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,1,2,3,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201708
357,2184591,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,65-74,60+,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,No,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,2,Not working - retired,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
358,2187416,2014,November,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"Yes, married PARTNER NAME",2015,November,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,49,45-54,45-59,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$250,000 or more",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,was unmarried but got married,still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
359,2196501,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,55-64,45-59,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
360,2203446,2014,December,3,unmarried partners,,,,,,,,,,,,,,,,,Yes,Yes,"No, did not marry PARTNER NAME",,,"No, I have not met anyone for dating, romance, or sex [besides PARTNER NAME] in the past year",,,,,,,,,,,,,,52,45-54,45-59,Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Male,Yes,2,A one-family house detached from any other house,"$100,000 to $124,999",Living with partner,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,unmarried still together,still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
361,2211311,2014,December,3,married,Yes,Yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,35-44,30-44,Professional or Doctorate degree,Bachelor's degree or higher,"Black, Non-Hispanic",Male,Yes,3,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,1,0,2,Working - as a paid employee,"was married, remained married",still together,,,,,,,0,yes,"No, I have not met anyone for dating, romance, or sex besides PARTNER NAME in the past year",met no people,,,201707
