caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,breakup_year_combo,breakup_month_combo,got_married?_new
2211311,2211311_6,qualified,yes,201707,still together,,,,,
2218261,2218261_6,qualified,yes,201708,still together,,,,,
2224215,2224215_6,qualified,yes,201707,still together,,,,,no
2228436,2228436_6,qualified,yes,201708,still together,,,,,
2229421,2229421_6,qualified,yes,201708,still together,,,,,
2230711,2230711_6,qualified,yes,201707,still together,,,,,
2235561,2235561_6,qualified,yes,201707,partner passed away,,,,,
2242616,2242616_6,qualified,yes,201707,still together,,,,,no
2247501,2247501_6,qualified,yes,201708,still together,,,,,
2272671,2272671_6,qualified,yes,201707,still together,,,,,
2282431,2282431_6,qualified,yes,201707,still together,,,,,
2288511,2288511_6,qualified,yes,201707,still together,,,,,
2297221,2297221_6,qualified,yes,201707,still together,,,,,
2298381,2298381_6,qualified,yes,201707,still together,,,,,
2300541,2300541_6,qualified,yes,201707,still together,,,,,
2306401,2306401_6,qualified,yes,201707,still together,,,,,
2309591,2309591_6,qualified,yes,201707,still together,,,,,
2317486,2317486_6,qualified,yes,201707,still together,,,,,
2321421,2321421_6,qualified,yes,201707,still together,,,,,
2322215,2322215_6,qualified,yes,201707,still together,,,,,no
2323671,2323671_6,qualified,yes,201707,still together,,,,,
2333551,2333551_6,qualified,yes,201707,broke up,,,2016.0,December,
2335586,2335586_6,qualified,yes,201707,still together,,,,,no
2344281,2344281_6,qualified,yes,201707,broke up,,,2015.0,December,
2347261,2347261_6,qualified,yes,201707,still together,,,,,
2355521,2355521_6,qualified,yes,201707,still together,,,,,
2356606,2356606_6,qualified,yes,201707,still together,2015.0,January,,,yes
2364441,2364441_6,qualified,yes,201707,still together,,,,,
2365386,2365386_6,qualified,yes,201707,still together,,,,,
2366361,2366361_6,qualified,yes,201707,still together,,,,,
2367561,2367561_6,qualified,yes,201707,still together,,,,,
2377541,2377541_6,qualified,yes,201707,still together,,,,,
2381381,2381381_6,qualified,yes,201707,still together,,,,,
2388281,2388281_6,qualified,yes,201707,still together,,,,,
2393341,2393341_6,qualified,yes,201707,still together,,,,,
2395381,2395381_6,qualified,yes,201707,still together,,,,,
2398492,2398492_6,qualified,yes,201707,broke up,,,,,
2402351,2402351_6,qualified,yes,201707,still together,,,,,
2406541,2406541_6,qualified,yes,201707,still together,,,,,
2427431,2427431_6,qualified,yes,201707,still together,,,,,
2430446,2430446_6,qualified,yes,201707,still together,,,,,no
2453455,2453455_6,qualified,yes,201707,still together,,,,,
2460536,2460536_6,qualified,yes,201707,still together,,,,,
2465606,2465606_6,qualified,yes,201707,still together,,,,,no
2468481,2468481_6,qualified,yes,201707,still together,,,,,
2472495,2472495_6,qualified,yes,201707,still together,,,,,no
2485465,2485465_6,qualified,yes,201707,broke up,,,2016.0,June,
2487583,2487583_6,qualified,yes,201707,still together,,,,,no
2490501,2490501_6,qualified,yes,201707,still together,,,,,
2499671,2499671_6,qualified,yes,201707,still together,,,,,
2504476,2504476_6,qualified,yes,201707,still together,,,,,
2505436,2505436_6,qualified,yes,201707,still together,,,,,no
2506506,2506506_6,qualified,yes,201707,still together,,,,,
2518321,2518321_6,qualified,yes,201707,still together,,,,,
2524351,2524351_6,qualified,yes,201707,still together,,,,,
2527611,2527611_6,qualified,yes,201707,still together,,,,,
2533411,2533411_6,qualified,yes,201707,still together,,,,,
2534481,2534481_6,qualified,yes,201707,still together,,,,,
2554441,2554441_6,qualified,yes,201707,still together,,,,,
2557351,2557351_6,qualified,yes,201708,still together,,,,,
2562645,2562645_6,qualified,yes,201707,still together,,,,,
2564501,2564501_6,qualified,yes,201707,still together,,,,,
2565561,2565561_6,qualified,yes,201707,still together,,,,,
2569551,2569551_6,qualified,yes,201707,still together,,,,,
2588496,2588496_6,qualified,yes,201707,still together,,,,,no
2595533,2595533_6,qualified,yes,201707,still together,,,,,
2596391,2596391_6,qualified,yes,201707,still together,,,,,
2597631,2597631_6,qualified,yes,201707,still together,,,,,
2609225,2609225_6,qualified,yes,201707,still together,,,,,
2611571,2611571_6,qualified,yes,201707,still together,,,,,
2616381,2616381_6,qualified,yes,201707,still together,,,,,
2618441,2618441_6,qualified,yes,201707,still together,,,,,
2619511,2619511_6,qualified,yes,201707,still together,,,,,
2625586,2625586_6,qualified,yes,201707,still together,,,,,no
2631603,2631603_6,qualified,yes,201707,still together,,,,,no
2637661,2637661_6,qualified,yes,201707,still together,,,,,
2643741,2643741_6,qualified,yes,201707,still together,,,,,
2648596,2648596_6,qualified,yes,201707,still together,,,,,no
2672556,2672556_6,qualified,yes,201707,still together,,,,,
2679701,2679701_6,qualified,yes,201707,still together,,,,,
2682456,2682456_6,qualified,yes,201707,still together,,,,,
2683531,2683531_6,qualified,yes,201707,still together,,,,,
2684336,2684336_6,qualified,yes,201707,still together,,,,,
2692511,2692511_6,qualified,yes,201707,still together,,,,,
2697631,2697631_6,qualified,yes,201707,still together,,,,,
2711361,2711361_6,qualified,yes,201707,still together,,,,,
2719291,2719291_6,qualified,yes,201707,still together,,,,,
2725295,2725295_6,qualified,yes,201707,still together,,,,,
2753551,2753551_6,qualified,yes,201707,still together,,,,,
2763486,2763486_6,qualified,yes,201707,still together,2016.0,May,,,yes
2769621,2769621_6,qualified,yes,201707,still together,,,,,
2777215,2777215_6,qualified,yes,201707,still together,,,,,
2778431,2778431_6,qualified,yes,201707,still together,,,,,
2780461,2780461_6,qualified,yes,201707,still together,,,,,
2783571,2783571_6,qualified,yes,201707,still together,,,,,
2793416,2793416_6,qualified,yes,201707,still together,,,,,
2809516,2809516_6,qualified,yes,201707,broke up,,,2014.0,October,
2814495,2814495_6,qualified,yes,201707,still together,,,,,no
2820571,2820571_6,qualified,yes,201707,still together,,,,,
2843431,2843431_6,qualified,yes,201707,still together,,,,,
2845381,2845381_6,qualified,yes,201707,still together,,,,,
2880391,2880391_6,qualified,yes,201707,still together,,,,,
2885256,2885256_6,qualified,yes,201708,still together,,,,,
2887261,2887261_6,qualified,yes,201707,still together,,,,,
2897401,2897401_6,qualified,yes,201707,still together,,,,,
2908413,2908413_6,qualified,yes,201707,still together,,,,,
2913266,2913266_6,qualified,yes,201707,still together,,,,,
2931391,2931391_6,qualified,yes,201707,still together,,,,,
